target_x,target_y,gaze_x,gaze_y,error
0.1,0.1,0.10573241905731456,0.09545577877456546,0.007315
0.1,0.1,0.11074889724596955,0.09545577877456546,0.01167
0.1,0.1,0.11505534107899897,0.09545577877456546,0.015726
0.1,0.1,0.11888221770155627,0.09545577877456546,0.019421
0.1,0.1,0.12247883892514229,0.09545577877456546,0.022934
0.1,0.1,0.12548558954932276,0.09545577877456546,0.025888
0.1,0.1,0.12065025301967362,0.09136800208796496,0.022382
0.1,0.1,0.11433647190237661,0.08761112664312579,0.018948
0.1,0.1,0.10943367962658648,0.08761112664312579,0.015572
0.1,0.1,0.1056980615764839,0.0841614870213167,0.016832
0.1,0.1,0.1056980615764839,0.0779366370991432,0.022787
0.1,0.1,0.1025421196419427,0.07296273342752005,0.027157
0.1,0.1,0.1025421196419427,0.06872394822504121,0.031379
0.1,0.1,0.1025421196419427,0.06413418496741904,0.035956
0.1,0.1,0.1025421196419427,0.0598447004184408,0.040236
0.1,0.1,0.09920212344801138,0.05664077134307342,0.043367
0.1,0.1,0.1024418985527272,0.05664077134307342,0.043428
0.1,0.1,0.10585152174930551,0.05664077134307342,0.043752
0.1,0.1,0.1101090896116521,0.05664077134307342,0.044522
0.1,0.1,0.1140552971994333,0.05664077134307342,0.04558
0.1,0.1,0.11074462596415507,0.060047693965091076,0.041372
0.1,0.1,0.10734494129023975,0.06354763131998298,0.037185
0.1,0.1,0.10392051087716017,0.06354763131998298,0.036663
0.1,0.1,0.09876458973439287,0.05913251697305966,0.040886
0.1,0.1,0.09527891540432587,0.05913251697305966,0.041139
0.1,0.1,0.09527891540432587,0.055728592763489584,0.044522
0.1,0.1,0.09907060541071808,0.050334902030771705,0.049674
0.1,0.1,0.10325529268426453,0.04650452287188383,0.053594
0.1,0.1,0.10748839998198106,0.04207494421154011,0.058407
0.1,0.1,0.10748839998198106,0.03841813352323499,0.062035
0.1,0.1,0.10748839998198106,0.035291984660663064,0.06514
0.1,0.1,0.11055201406784035,0.035291984660663064,0.065563
0.1,0.1,0.11055201406784035,0.03205966176515239,0.068755
0.1,0.1,0.11055201406784035,0.028795485034208448,0.071982
0.1,0.1,0.10613959662460667,0.032749786561365894,0.06753
0.1,0.1,0.0973394816854098,0.04141643241574667,0.058644
0.1,0.1,0.0882161919907298,0.05220590794889635,0.049225
0.1,0.1,0.08008584401288366,0.06199890844693119,0.042903
0.1,0.1,0.07202194719332089,0.06964176983323231,0.041284
0.1,0.1,0.06552013072791729,0.07621902306047396,0.041886
0.1,0.1,0.06136845279658994,0.07935044090394397,0.043804
0.1,0.1,0.05776848437328623,0.07935044090394397,0.04701
0.1,0.1,0.054214079185770925,0.07935044090394397,0.050227
0.1,0.1,0.054214079185770925,0.08314178964521605,0.048791
0.1,0.1,0.05883940990504158,0.0867118660941215,0.043252
0.1,0.1,0.06434127365492281,0.0867118660941215,0.038054
0.1,0.1,0.06770426239622813,0.08991072695718616,0.033835
0.1,0.1,0.07128533393224243,0.08991072695718616,0.030436
0.1,0.1,0.07450826379425012,0.08991072695718616,0.027416
0.1,0.1,0.07125734247448705,0.09405467704233557,0.029351
0.1,0.1,0.06777586323557432,0.09751612478773028,0.03232
0.1,0.1,0.06777586323557432,0.10060339254811404,0.03223
0.9,0.1,0.06777586323557432,0.10060339254811404,0.832224
0.9,0.1,0.0639521183256256,0.10060339254811404,0.836048
0.9,0.1,0.0597484857328407,0.10060339254811404,0.840252
0.9,0.1,0.05643653633854245,0.10060339254811404,0.843564
0.9,0.1,0.05643653633854245,0.10432845547071398,0.843575
0.9,0.1,0.09423202133162113,0.11086134078581422,0.805841
0.9,0.1,0.12820357163222396,0.11086134078581422,0.771873
0.9,0.1,0.15355733576400965,0.11086134078581422,0.746522
0.9,0.1,0.1891564221961252,0.1026966212244172,0.710849
0.9,0.1,0.263408143047448,0.1026966212244172,0.636598
0.9,0.1,0.34623834561375977,0.10883387412750178,0.553832
0.9,0.1,0.46679450308157033,0.1551881654939028,0.436707
0.9,0.1,0.6030334093094488,0.2275301653296503,0.323192
0.9,0.1,0.7423531577225285,0.3032141968986008,0.257194
0.9,0.1,0.8533412516496537,0.35848161443377846,0.262659
0.9,0.1,0.95260768370627,0.42342285209277647,0.327673
0.9,0.1,1.0,0.4924059715886617,0.404947
0.9,0.1,1.0,0.5648317416050123,0.475467
0.9,0.1,1.0,0.6260806101808137,0.535501
0.9,0.1,1.0,0.6658120638139234,0.574581
0.9,0.1,1.0,0.6965724848216419,0.604896
0.9,0.1,1.0,0.7167708983657692,0.624825
0.9,0.1,1.0,0.7282344277465107,0.636143
0.9,0.1,1.0,0.724028338745574,0.63199
0.9,0.1,1.0,0.7116337233043692,0.619755
0.9,0.1,1.0,0.6952832107959539,0.603624
0.9,0.1,1.0,0.6793517659324545,0.587919
0.9,0.1,1.0,0.6847604532524215,0.593249
0.9,0.1,1.0,0.689238907273341,0.597664
0.9,0.1,1.0,0.697483448380915,0.605794
0.9,0.1,1.0,0.6941111340318054,0.602468
0.9,0.1,1.0,0.6850499079967649,0.593535
0.9,0.1,1.0,0.6782316123065683,0.586815
0.9,0.1,1.0,0.6687310045711125,0.577456
0.9,0.1,1.0,0.6591730410067256,0.568044
0.9,0.1,1.0,0.6520431488043887,0.561027
0.9,0.1,1.0,0.6409995720156018,0.550164
0.9,0.1,1.0,0.6223479841747867,0.531834
0.9,0.1,1.0,0.6101545614587414,0.519863
0.9,0.1,1.0,0.5945606256401236,0.504569
0.9,0.1,1.0,0.5796183240908409,0.489932
0.9,0.1,1.0,0.5638918634846126,0.474548
0.9,0.1,1.0,0.540079695777328,0.451298
0.9,0.1,1.0,0.5207129877398065,0.432434
0.9,0.1,1.0,0.5008985005322664,0.413182
0.9,0.1,1.0,0.4971403837251377,0.409537
0.9,0.1,1.0,0.4849985695728358,0.397774
0.9,0.1,1.0,0.47025397423773885,0.383521
0.9,0.1,1.0,0.4534481977481988,0.367322
0.9,0.1,1.0,0.42689067388532465,0.341844
0.9,0.1,1.0,0.3939638731340285,0.310507
0.9,0.1,1.0,0.36612475377944587,0.284293
0.9,0.1,1.0,0.3390297491324372,0.259105
0.9,0.1,1.0,0.29690507242642455,0.220843
0.9,0.1,1.0,0.26360523558166726,0.191746
0.9,0.1,1.0,0.2359668117603994,0.168781
0.9,0.1,1.0,0.18398562605981894,0.130589
0.9,0.1,1.0,0.15249414961608068,0.112941
0.9,0.1,1.0,0.10389714492274307,0.100076
0.9,0.1,1.0,0.06571910192523645,0.105713
0.9,0.1,1.0,0.04118440944661399,0.116014
0.9,0.1,1.0,0.025049105751674985,0.124971
0.9,0.1,1.0,0.003359634677032321,0.139066
0.9,0.1,1.0,0.0,0.141421
0.9,0.1,0.9762781559684677,0.0,0.125771
0.9,0.1,0.9536672938650385,0.0,0.113491
0.9,0.1,0.9305848904017157,0.0,0.104573
0.9,0.1,0.9112564498007774,0.0,0.100632
0.9,0.1,0.8952550714580418,0.0,0.100113
0.9,0.1,0.8918218515857392,0.0,0.100334
0.9,0.1,0.8816072665521952,0.0,0.101677
0.9,0.1,0.871324543924719,0.0,0.10403
0.9,0.1,0.8596061812799181,0.0,0.10785
0.9,0.1,0.8430986090878774,0.0,0.115056
0.9,0.1,0.8284625641577132,0.0,0.122954
0.9,0.1,0.8353942168591697,0.0,0.119054
0.9,0.1,0.8425208281774691,0.0,0.115342
0.9,0.1,0.8331970575537977,0.0,0.120261
0.9,0.1,0.8229951660242882,0.0,0.126213
0.9,0.1,0.8095214312727275,0.0,0.134857
0.9,0.1,0.799217599761145,0.0,0.141976
