source,target_x,target_y,gaze_x,gaze_y,error
balloon_pop,0.2,0.2,0.3993776804505258,0.07052260930499438,0.237731
balloon_pop,0.2,0.2,0.40328839446326314,0.07681437098625135,0.237699
balloon_pop,0.2,0.2,0.40690136735249127,0.07681437098625135,0.240796
balloon_pop,0.2,0.2,0.40690136735249127,0.08142387311261379,0.238471
balloon_pop,0.2,0.2,0.41025741308905506,0.08612054008616718,0.239117
balloon_pop,0.2,0.2,0.4061545933354795,0.08612054008616718,0.235517
balloon_pop,0.2,0.2,0.4061545933354795,0.09083347123303978,0.233275
balloon_pop,0.2,0.2,0.4061545933354795,0.094239904538294,0.2317
balloon_pop,0.2,0.2,0.4011830910742217,0.094239904538294,0.227288
balloon_pop,0.2,0.2,0.3902685337250775,0.094239904538294,0.217686
balloon_pop,0.2,0.2,0.3819046418291566,0.0842362013622191,0.215617
balloon_pop,0.2,0.2,0.3687864581662528,0.0738152318440756,0.21074
balloon_pop,0.2,0.2,0.36044853406295474,0.06504806057330871,0.209656
balloon_pop,0.2,0.2,0.34963011348300543,0.05697694258301008,0.20699
balloon_pop,0.2,0.2,0.34063507432648765,0.05697694258301008,0.200584
balloon_pop,0.2,0.2,0.3248574438862042,0.05697694258301008,0.189855
balloon_pop,0.2,0.2,0.3087786445832657,0.05697694258301008,0.17969
balloon_pop,0.2,0.2,0.2956729484102208,0.05697694258301008,0.172072
balloon_pop,0.2,0.2,0.2816908222142597,0.053684789649476226,0.167575
balloon_pop,0.2,0.2,0.2741338589696928,0.04842108772573814,0.168736
balloon_pop,0.2,0.2,0.2822331034977213,0.04842108772573814,0.172448
balloon_pop,0.2,0.2,0.28725101474704384,0.04842108772573814,0.174897
balloon_pop,0.2,0.2,0.2772677452837333,0.056607147230672665,0.162886
balloon_pop,0.2,0.2,0.2631593431168419,0.06567018883846196,0.148437
balloon_pop,0.2,0.2,0.24804072074887074,0.07620308290186123,0.132792
balloon_pop,0.2,0.2,0.2306914613539122,0.0919805829664222,0.112295
balloon_pop,0.2,0.2,0.1932390932747322,0.12025460870867928,0.080031
balloon_pop,0.2,0.2,0.15476985047857877,0.15048241550054242,0.067065
balloon_pop,0.2,0.2,0.11655491591496095,0.17637623322237866,0.086725
balloon_pop,0.2,0.2,0.07916736647856094,0.19692111752570568,0.120872
balloon_pop,0.2,0.2,0.04609342127907928,0.21342128768412222,0.154491
balloon_pop,0.2,0.2,0.024194214717300707,0.22079477605372877,0.177031
balloon_pop,0.2,0.2,0.006742647512540841,0.22079477605372877,0.194373
balloon_pop,0.2,0.2,0.0,0.2164923622930956,0.200679
balloon_pop,0.2,0.2,0.0,0.2071549096148075,0.200128
balloon_pop,0.2,0.2,0.0,0.1869112789945344,0.200428
balloon_pop,0.2,0.2,0.0,0.1602015782428669,0.203921
balloon_pop,0.2,0.2,0.0,0.1351711529629337,0.210245
balloon_pop,0.2,0.2,0.0,0.11664268682200453,0.216676
balloon_pop,0.2,0.2,0.0,0.10996435979667446,0.219332
balloon_pop,0.2,0.2,0.006687184829170307,0.12443607536276952,0.207557
balloon_pop,0.2,0.2,0.014407785713253277,0.1397336398063327,0.195132
balloon_pop,0.2,0.2,0.019365861982190688,0.15380569116825,0.186447
balloon_pop,0.2,0.2,0.019365861982190688,0.1695804551056494,0.183178
balloon_pop,0.2,0.2,0.011044232105389332,0.19314756148610912,0.18908
balloon_pop,0.2,0.2,0.0,0.2137653662153427,0.200473
balloon_pop,0.2,0.2,0.0,0.23264289933082397,0.202646
balloon_pop,0.2,0.2,0.0,0.24456560509289638,0.204905
balloon_pop,0.2,0.2,0.0,0.2553176802688174,0.207509
balloon_pop,0.2,0.2,0.0,0.2694040480000469,0.2117
balloon_pop,0.2,0.2,0.0,0.27960405517627507,0.21526
balloon_pop,0.2,0.2,0.0031734183307974327,0.2879870146443171,0.215598
balloon_pop,0.2,0.2,0.0210528765624507,0.2937530564613848,0.202019
balloon_pop,0.2,0.2,0.037953115827217145,0.2971918670376694,0.188959
balloon_pop,0.2,0.2,0.055014610368147795,0.30434147490770136,0.178628
balloon_pop,0.2,0.2,0.06716488023444846,0.30434147490770136,0.168915
balloon_pop,0.2,0.2,0.08023082504828444,0.3109232040726453,0.163244
